r1	r2	a11	a12	a21	a22	N1	N2	Coexistence	Crossing	PGR>0
15	11	0.7	0.30000000000000004	0.5000000000000001	0.7000000000000001	19.90114933374859	0.22815970891268642	1	0	0
15	11	0.7	0.30000000000000004	0.5000000000000001	0.9000000000000001	19.929983735316505	0.16160643955178813	1	0	0
15	11	0.7	0.30000000000000004	0.7000000000000001	0.1	19.99831164332691	0.0028140921353381433	0	0	0
15	11	0.7	0.30000000000000004	0.7000000000000001	0.30000000000000004	19.99796962112785	0.0033839647869141724	0	0	0
15	11	0.7	0.30000000000000004	0.7000000000000001	0.5000000000000001	19.99791324756366	0.003477669695765898	0	0	0
15	11	0.7	0.30000000000000004	0.7000000000000001	0.7000000000000001	19.998053224236255	0.0032441893284780644	0	0	0
15	11	0.7	0.30000000000000004	0.7000000000000001	0.9000000000000001	19.997990683084435	0.0033481633638204216	0	0	0
15	11	0.7	0.30000000000000004	0.9000000000000001	0.1	19.998916591422518	0.001387586713772175	0	0	0
15	11	0.7	0.30000000000000004	0.9000000000000001	0.30000000000000004	19.998220057986064	0.0022796281741422524	0	0	0
15	11	0.7	0.30000000000000004	0.9000000000000001	0.5000000000000001	19.99878755126158	0.0015527552418543428	0	0	0
15	11	0.7	0.30000000000000004	0.9000000000000001	0.7000000000000001	19.998420928876904	0.0020221754836459837	0	0	0
15	11	0.7	0.30000000000000004	0.9000000000000001	0.9000000000000001	19.998736378962086	0.0016181702404545046	0	0	0
15	11	0.7	0.5000000000000001	0.1	0.1	0.00018670912351078167	99.9991647112558	0	0	0
15	11	0.7	0.5000000000000001	0.1	0.30000000000000004	0.006090856243907102	33.33089822608881	0	0	0
15	11	0.7	0.5000000000000001	0.1	0.5000000000000001	6.670488865904097	18.665585739265435	1	0	1
15	11	0.7	0.5000000000000001	0.1	0.7000000000000001	10.911323766045722	12.726634325534318	1	0	1
15	11	0.7	0.5000000000000001	0.1	0.9000000000000001	13.101615107598114	9.65570084290408	1	0	1
15	11	0.7	0.5000000000000001	0.30000000000000004	0.1	6.983636351095953e-05	99.99906278080165	0	0	0
15	11	0.7	0.5000000000000001	0.30000000000000004	0.30000000000000004	0.004845251900224679	33.32752299413803	0	0	0
15	11	0.7	0.5000000000000001	0.30000000000000004	0.5000000000000001	10.005081447438315	13.995702388978263	1	0	1
15	11	0.7	0.5000000000000001	0.30000000000000004	0.7000000000000001	14.114778719048873	8.237728019654133	1	1	1
15	11	0.7	0.5000000000000001	0.30000000000000004	0.9000000000000001	15.830229525280938	5.835971459468118	1	1	1
15	11	0.7	0.5000000000000001	0.5000000000000001	0.1	5.954604649596456e-05	99.99866818752382	0	0	0
15	11	0.7	0.5000000000000001	0.5000000000000001	0.30000000000000004	0.002885174831899004	33.327567512227574	0	0	0
15	11	0.7	0.5000000000000001	0.5000000000000001	0.5000000000000001	19.431811578365256	0.7867428156578251	1	0	0
15	11	0.7	0.5000000000000001	0.5000000000000001	0.7000000000000001	19.763287154935867	0.3277667516901701	1	0	0
15	11	0.7	0.5000000000000001	0.5000000000000001	0.9000000000000001	19.850961451003744	0.20637496223289728	1	0	0
