r1,r2,a11,a22,a12,a21,N1_eq,N2_eq,SoS1,SoS2,nu,nu_CE,rare_species,self_limitation,rare_extinction_rate,common_extinction_rate,mean_coexistence_time
6.7,3.2,1.6,1.1,1.1,0.59,3.5,0.14,1.0,2.1,-1.9,4.934800717310476,species2_rare,strong,0.65,0.27,2.8
10.0,12.0,0.89,2.3,0.55,1.0,10.0,0.46,3.3,0.89,12.0,54.53150616829416,species2_rare,weak,0.99,0.005,6.5
20.0,13.0,1.3,2.0,1.4,0.83,14.0,0.41,1.4,1.5,-0.98,46.47345037565913,species2_rare,strong,0.99,0.013,8.7
10.0,18.0,2.8,2.8,1.4,0.022,0.3,6.1,1.9,9.6,22.0,2326.1419912276183,species1_rare,weak,0.99,0.008,4.1
5.0,12.0,0.68,2.0,0.68,0.75,0.92,5.0,2.6,0.92,-3.3,16.226530479376258,species1_rare,strong,0.81,0.18,6.6
7.9,12.0,2.6,0.65,0.16,1.0,1.8,15.0,3.2,2.1,-7.2,-110.46537031094502,species1_rare,strong,0.99,0.005,7.2
12.0,10.0,1.6,0.36,0.21,0.39,3.9,22.0,1.6,3.2,15.0,-69.72484756622282,species1_rare,weak,1.0,0.0005,23.0
3.4,18.0,1.3,2.9,0.27,2.2,0.78,5.2,7.0,0.67,-14.0,5.862115838812191,species1_rare,strong,0.86,0.11,3.8
13.0,11.0,2.3,2.9,1.8,1.7,4.4,0.95,1.5,1.3,0.34,3.5904078069830376,species2_rare,weak,0.69,0.28,4.5
8.6,2.8,2.6,2.3,2.4,0.36,2.6,0.36,0.97,4.2,-3.6,0.506147521424319,species2_rare,strong,0.62,0.22,1.9
12.0,12.0,2.4,1.9,1.7,0.38,0.77,5.4,1.1,4.4,7.7,51.89485908151495,species1_rare,weak,0.95,0.049,5.7
16.0,5.0,0.96,0.69,0.62,0.12,14.0,3.5,1.1,5.7,-23.0,-0.40960180629032616,species2_rare,strong,1.0,0.0015,18.0
8.2,18.0,2.4,0.9,0.028,0.26,2.8,18.0,12.0,4.5,-55.0,-1347.6265287039128,species1_rare,strong,1.0,0.0,15.0
18.0,15.0,3.0,1.3,1.4,0.88,1.2,9.7,0.92,3.0,8.9,34.923462419525364,species1_rare,weak,0.98,0.023,8.5
1.9,1.4,3.0,2.6,0.66,1.2,0.28,0.034,1.3,1.4,-0.011,0.13498221316836395,species2_rare,strong,0.29,0.21,1.1
19.0,7.5,2.8,0.32,0.19,0.98,6.2,1.5,1.5,2.6,-2.6,168.23689452337356,species2_rare,strong,0.95,0.044,13.0
15.0,4.5,1.6,2.9,2.6,0.05,7.3,1.1,1.1,11.0,-30.0,-179.96662633814523,species2_rare,strong,0.93,0.054,3.3
13.0,17.0,2.9,2.1,0.85,0.15,1.9,7.4,2.3,7.8,15.0,262.30086517407545,species1_rare,weak,0.99,0.007,7.8
5.3,15.0,2.2,2.8,0.83,2.6,0.2,4.7,2.9,0.89,-4.6,7.062938781097841,species1_rare,strong,0.79,0.17,3.0
14.0,15.0,2.3,2.0,1.5,0.33,1.1,6.9,1.3,4.8,10.0,103.65524863587454,species1_rare,weak,0.98,0.015,6.9
17.0,8.4,1.5,1.9,1.0,0.44,9.9,1.6,1.7,2.9,-5.1,25.730502177038506,species2_rare,strong,1.0,0.0035,7.6
13.0,4.7,2.3,2.9,2.3,0.52,4.9,0.39,1.2,3.5,-5.2,4.881758387767566,species2_rare,strong,0.83,0.12,2.6
6.0,9.9,3.0,2.5,1.3,1.6,0.16,3.4,1.7,1.7,-0.12,6.093907321636935,species1_rare,strong,0.73,0.2,2.5
19.0,7.1,2.2,1.3,1.2,0.59,7.5,1.3,1.1,3.3,-6.7,27.300396513354364,species2_rare,strong,0.97,0.031,7.2
7.4,17.0,1.2,2.3,0.87,0.9,0.55,6.6,2.4,1.3,-3.4,34.34457754571819,species1_rare,strong,0.94,0.06,6.6
4.4,3.9,2.9,2.7,0.11,2.1,1.2,0.17,3.5,1.3,1.1,14.490929029851205,species2_rare,weak,0.56,0.21,1.6
7.1,18.0,2.9,0.88,0.14,1.0,1.3,18.0,4.9,2.3,-22.0,-95.13765206784323,species1_rare,strong,1.0,0.0,5.1
18.0,16.0,2.7,0.55,0.33,0.37,3.4,24.0,1.6,5.4,39.0,70.46064052078052,species1_rare,weak,1.0,0.0,18.0
4.0,7.1,2.1,2.4,0.91,0.2,0.34,2.6,2.1,3.1,1.1,30.987258865779577,species1_rare,weak,0.79,0.13,2.4
9.3,8.3,1.3,2.5,1.5,1.0,5.7,0.61,1.5,1.2,0.75,4.482925804839626,species2_rare,weak,0.73,0.25,4.3
3.1,11.0,2.8,0.66,0.04,2.6,0.54,13.0,6.9,1.1,-37.0,-212.01898313771747,species1_rare,strong,0.93,0.045,2.3
5.5,5.6,2.8,2.5,2.0,1.1,0.41,1.7,1.2,2.0,0.51,1.3751824355880142,species1_rare,weak,0.52,0.3,1.9
18.0,4.9,2.8,2.5,0.27,0.15,5.9,1.2,3.4,9.5,-14.0,93.40764830141948,species2_rare,strong,0.98,0.015,4.2
17.0,6.7,1.5,1.4,0.79,0.5,11.0,0.15,1.6,2.7,-5.9,88.37100185010395,species2_rare,strong,1.0,0.0015,5.6
12.0,6.0,0.57,2.8,2.0,0.22,17.0,0.38,1.3,2.2,-8.2,1.1007128931659251,species2_rare,strong,0.95,0.042,4.0
6.5,5.7,0.85,0.9,1.0,0.22,0.36,5.1,0.9,2.7,4.3,34.393667093445785,species1_rare,weak,0.86,0.13,6.1
12.0,7.7,1.2,3.0,0.4,0.63,8.8,0.41,4.0,1.8,9.2,96.24994087980899,species2_rare,weak,1.0,0.0015,3.8
8.3,14.0,2.4,2.5,1.1,0.24,0.71,5.3,2.1,4.8,6.0,116.442360712817,species1_rare,weak,0.97,0.026,4.4
16.0,5.6,1.9,2.4,0.89,0.14,7.4,1.5,2.1,7.8,-17.0,-30.966535792126006,species2_rare,strong,0.99,0.011,5.4
11.0,8.7,2.3,2.2,0.44,1.3,4.4,0.8,3.4,1.6,3.3,34.33850880131951,species2_rare,weak,0.89,0.095,4.9
20.0,6.1,2.4,1.8,0.51,0.28,7.5,1.6,2.5,6.2,-11.0,72.57929574425614,species2_rare,strong,0.99,0.006,6.3
3.0,13.0,1.9,2.5,0.37,0.094,0.074,5.0,4.7,2.7,-4.8,319.4442082224749,species1_rare,strong,0.98,0.013,2.4
11.0,2.6,0.4,2.9,0.54,0.046,24.0,0.17,2.0,5.0,-36.0,80.21061818464685,species2_rare,strong,1.0,0.0005,2.0
20.0,12.0,0.56,1.6,0.81,0.047,25.0,5.9,1.8,7.7,-56.0,-1674.9099798300997,species2_rare,strong,0.93,0.0,170.0
8.4,2.6,2.7,1.2,0.15,0.49,2.7,0.22,2.2,3.6,-1.8,57.99888024091897,species2_rare,strong,0.81,0.13,2.5
13.0,13.0,3.0,2.6,1.2,2.6,3.6,0.93,2.0,1.1,1.2,6.212366879922514,species2_rare,weak,0.67,0.29,4.4
16.0,14.0,2.6,1.9,1.6,0.21,1.7,6.5,1.2,7.1,14.0,121.19142115662065,species1_rare,weak,0.98,0.018,7.8
5.3,10.0,1.9,2.1,0.91,1.1,0.25,4.2,2.1,1.6,-0.94,11.622950466863964,species1_rare,strong,0.83,0.13,3.2
15.0,14.0,1.3,2.2,0.64,0.82,9.6,2.6,2.9,1.5,4.8,36.599221627123455,species2_rare,weak,0.99,0.008,13.0
12.0,16.0,2.3,0.23,0.039,0.48,3.8,55.0,4.5,3.7,-22.0,-4991.363305928052,species1_rare,strong,1.0,0.0,31.0
