r1,r2,a11,a22,a12,a21,N1,N2,Outcome,E1,E2,S1,S2,Rank,CoexistRank,Asy,cor,Rare
16.0,16.0,0.7,0.1,0.1,0.1,0.0266949046931162,149.9732765582094,0,1.0,1.0,1.0,5.09090909090909,2,0,-4.09090909090909,306.7089170185559,0.000177966065145
17.0,15.0,0.7,0.1,0.1,0.1,3.33339990796928,136.6665904922041,1,1.1333333333333333,0.8823529411764706,1.1333333333333333,4.565217391304348,2,1,-3.4318840579710144,228.79202558222323,0.023810000975294
17.0,16.0,0.7,0.1,0.1,0.1,1.6668150849398118,148.33317497865318,1,1.0625,0.9411764705882352,1.0625,4.869565217391304,2,1,-3.807065217391304,279.18419865637554,0.0111121013023611
17.0,17.0,0.7,0.1,0.1,0.1,0.0283630943538165,159.9716067041881,0,1.0,1.0,1.0,5.173913043478261,2,0,-4.173913043478261,333.7945953596542,0.0001772693731725
18.0,15.0,0.7,0.1,0.1,0.1,5.000041756496559,134.9999491715822,1,1.2,0.8333333333333334,1.2,4.375,2,1,-3.175,206.37485302144842,0.0357145862892605
18.0,16.0,0.7,0.1,0.1,0.1,3.333402927832956,146.66658771667574,1,1.125,0.8888888888888888,1.125,4.666666666666666,2,1,-3.541666666666666,253.81918139690907,0.0222226875715807
18.0,17.0,0.7,0.1,0.1,0.1,1.6668265544863534,158.3331634150334,1,1.0588235294117647,0.9444444444444444,1.0588235294117647,4.958333333333333,2,1,-3.899509803921569,305.4609582660911,0.0104176666186284
18.0,18.0,0.7,0.1,0.1,0.1,0.0300312834703702,169.9699368498854,0,1.0,1.0,1.0,5.25,2,0,-4.25,361.122299328632,0.0001766546417632
19.0,15.0,0.7,0.1,0.1,0.1,6.666692078379142,133.33330052881772,1,1.2666666666666666,0.7894736842105263,1.2666666666666666,4.2,2,1,-2.9333333333333336,185.7776923939766,0.0476192316458482
19.0,16.0,0.7,0.1,0.1,0.1,5.000040792974236,144.9999509492369,1,1.1875,0.8421052631578947,1.1875,4.48,2,1,-3.2924999999999995,230.47485209474746,0.0333336071215741
19.0,17.0,0.7,0.1,0.1,0.1,3.333405767091246,156.6665851129762,1,1.1176470588235294,0.8947368421052632,1.1176470588235294,4.76,2,1,-3.6423529411764703,279.24677838521166,0.0208337872318373
19.0,18.0,0.7,0.1,0.1,0.1,1.6668375611686514,168.33315235249842,1,1.0555555555555556,0.9473684210526316,1.0555555555555556,5.04,2,1,-3.9844444444444447,332.03633602317143,0.0098049274121436
19.0,19.0,0.7,0.1,0.1,0.1,0.031699472097744,179.96826699538397,0,1.0,1.0,1.0,5.319999999999999,2,0,-4.319999999999999,388.66298585029824,0.0001761082111283
20.0,15.0,0.7,0.1,0.1,0.1,8.33335622374136,131.66663541790004,1,1.3333333333333333,0.75,1.3333333333333333,4.038461538461537,2,1,-2.7051282051282044,166.8161660895351,0.0595239765804578
20.0,16.0,0.7,0.1,0.1,0.1,6.666698508995807,143.33329286390406,1,1.25,0.8,1.25,4.307692307692307,2,1,-3.0576923076923066,208.9421971387539,0.0444446592828288
20.0,17.0,0.7,0.1,0.1,0.1,5.000046781313051,154.9999443529212,1,1.1764705882352942,0.85,1.1764705882352942,4.576923076923077,2,1,-3.4004524886877823,255.03376250014372,0.0312502941148177
20.0,18.0,0.7,0.1,0.1,0.1,3.333408437455328,166.66658266968983,1,1.1111111111111112,0.9,1.1111111111111112,4.846153846153846,2,1,-3.735042735042735,305.0281929037883,0.0196082859519351
20.0,19.0,0.7,0.1,0.1,0.1,1.6668481085663915,178.33314178089185,1,1.0526315789473684,0.95,1.0526315789473684,5.115384615384615,2,1,-4.062753036437247,358.8757605266773,0.0092602677899595
20.0,20.0,0.7,0.1,0.1,0.1,0.0333676602848678,189.9665971407436,0,1.0,1.0,1.0,5.384615384615384,2,0,-4.384615384615384,416.3920800148518,0.000175619297192
15.0,15.0,0.9,0.1,0.1,0.1,0.018765135424428,139.9812147197996,0,1.0,1.0,1.0,5.869565217391305,2,0,-4.869565217391305,340.77813811847864,0.0001340367008897
16.0,15.0,0.9,0.1,0.1,0.1,1.2501361577521304,138.74985406946098,1,1.0666666666666669,0.9375,1.0666666666666669,5.624999999999999,2,1,-4.558333333333333,313.38477374043634,0.0089295446072761
16.0,16.0,0.9,0.1,0.1,0.1,0.020015965646322,149.9799626426806,0,1.0,1.0,1.0,5.999999999999999,2,0,-4.999999999999999,374.89986669258565,0.0001334397900054
17.0,15.0,0.9,0.1,0.1,0.1,2.5000668285751737,137.49992353427857,1,1.1333333333333333,0.8823529411764706,1.1333333333333333,5.4,2,1,-4.266666666666668,287.9996943055006,0.0178576214333691
17.0,16.0,0.9,0.1,0.1,0.1,1.2501455941162725,148.7498446581431,1,1.0625,0.9411764705882352,1.0625,5.76,2,1,-4.6975,346.439918176633,0.0083343045023794
17.0,17.0,0.9,0.1,0.1,0.1,0.0212667951541107,159.97871056552486,0,1.0,1.0,1.0,6.12,2,0,-5.12,409.49105605214913,0.0001329174885204
18.0,15.0,0.9,0.1,0.1,0.1,3.750039373083986,136.2499520714582,1,1.2,0.8333333333333334,1.2,5.192307692307692,2,1,-3.992307692307691,264.4902103479085,0.0267859971589318
18.0,16.0,0.9,0.1,0.1,0.1,2.5000687604172795,147.49992199565892,1,1.125,0.8888888888888888,1.125,5.538461538461537,2,1,-4.413461538461537,319.97563766815335,0.0166671260965794
18.0,17.0,0.9,0.1,0.1,0.1,1.2501545224135862,158.74983578331697,1,1.0588235294117647,0.9444444444444444,1.0588235294117647,5.884615384615384,2,1,-4.82579185520362,380.0303395130168,0.0078134662384964
18.0,18.0,0.9,0.1,0.1,0.1,0.022517624032536,169.9774584883803,0,1.0,1.0,1.0,6.23076923076923,2,0,-5.23076923076923,444.49753764521716,0.0001324566305682
