r1,r2,a11,a22,a12,a21,N1,N2,Outcome,E1,E2,S1,S2,Rank,CoexistRank,Asy,cor,Rare
19.0,16.0,0.9,0.1,0.1,0.1,3.75,146.25,1,1.1875,0.8421052631578947,1.1875,5.333333333333333,2,1,-4.145833333333333,295.390625,0.025
19.0,17.0,0.9,0.1,0.1,0.1,2.5,157.5,1,1.1176470588235294,0.8947368421052632,1.1176470588235294,5.666666666666667,2,1,-4.549019607843137,352.5490196078432,0.015625
19.0,18.0,0.9,0.1,0.1,0.1,1.25,168.75,1,1.0555555555555556,0.9473684210526316,1.0555555555555556,6.0,2,1,-4.944444444444445,414.09722222222223,0.0073529411764705
19.0,19.0,0.9,0.1,0.1,0.1,0.0,180.0,0,1.0,1.0,1.0,6.333333333333333,2,0,-5.333333333333333,480.0,0.0
20.0,15.0,0.9,0.1,0.1,0.1,6.25,133.75,1,1.3333333333333333,0.75,1.3333333333333333,4.821428571428571,2,1,-3.488095238095238,222.36607142857144,0.0446428571428571
20.0,16.0,0.9,0.1,0.1,0.1,5.0,145.0,1,1.25,0.8,1.25,5.142857142857142,2,1,-3.8928571428571423,272.49999999999994,0.0333333333333333
20.0,17.0,0.9,0.1,0.1,0.1,3.75,156.25,1,1.1764705882352942,0.85,1.1764705882352942,5.464285714285714,2,1,-4.28781512605042,326.9459033613445,0.0234375
20.0,18.0,0.9,0.1,0.1,0.1,2.5,167.5,1,1.1111111111111112,0.9,1.1111111111111112,5.785714285714286,2,1,-4.674603174603174,385.6547619047619,0.0147058823529411
20.0,19.0,0.9,0.1,0.1,0.1,1.25,178.75,1,1.0526315789473684,0.95,1.0526315789473684,6.107142857142857,2,1,-5.054511278195489,448.5878759398496,0.0069444444444444
20.0,20.0,0.9,0.1,0.1,0.1,0.0,190.0,0,1.0,1.0,1.0,6.428571428571429,2,0,-5.428571428571429,515.7142857142858,0.0
15.0,15.0,1.0,0.1,0.1,0.1,0.0,140.0,0,1.0,1.0,1.0,6.249999999999999,2,0,-5.249999999999999,367.49999999999994,0.0
16.0,15.0,1.0,0.1,0.1,0.1,1.1111111111111112,138.88888888888889,1,1.0666666666666669,0.9375,1.0666666666666669,6.0,2,1,-4.933333333333334,339.85185185185185,0.0079365079365079
16.0,16.0,1.0,0.1,0.1,0.1,0.0,150.0,0,1.0,1.0,1.0,6.4,2,0,-5.4,405.0,0.0
17.0,15.0,1.0,0.1,0.1,0.1,2.2222222222222223,137.7777777777778,1,1.1333333333333333,0.8823529411764706,1.1333333333333333,5.769230769230769,2,1,-4.635897435897435,314.2108262108262,0.0158730158730158
17.0,16.0,1.0,0.1,0.1,0.1,1.1111111111111112,148.88888888888889,1,1.0625,0.9411764705882352,1.0625,6.153846153846153,2,1,-5.091346153846153,376.1939102564102,0.0074074074074074
17.0,17.0,1.0,0.1,0.1,0.1,0.0,160.0,0,1.0,1.0,1.0,6.538461538461538,2,0,-5.538461538461538,443.0769230769231,0.0
18.0,15.0,1.0,0.1,0.1,0.1,3.333333333333333,136.66666666666669,1,1.2,0.8333333333333334,1.2,5.555555555555555,2,1,-4.355555555555555,290.37037037037044,0.0238095238095238
18.0,16.0,1.0,0.1,0.1,0.1,2.2222222222222223,147.7777777777778,1,1.125,0.8888888888888888,1.125,5.925925925925926,2,1,-4.800925925925926,349.4007201646091,0.0148148148148148
18.0,17.0,1.0,0.1,0.1,0.1,1.1111111111111112,158.8888888888889,1,1.0588235294117647,0.9444444444444444,1.0588235294117647,6.296296296296296,2,1,-5.237472766884531,413.17840716533533,0.0069444444444444
