r1,r2,a11,a12,a21,a22,cor_sos,nu_sign,coexist,left_PGR1_dominant,right_PGR1_dominant,curve_cross
16.0,17.0,0.7,0.1,0.1,0.1,327.2726642225836,positive,1,0,0,0
17.0,17.0,0.7,0.1,0.1,0.1,333.8908312052328,positive,1,0,0,0
18.0,17.0,0.7,0.1,0.1,0.1,332.916597680913,positive,1,1,0,1
19.0,17.0,0.7,0.1,0.1,0.1,331.1999661140774,positive,1,1,0,1
20.0,17.0,0.7,0.1,0.1,0.1,328.8461325249453,positive,1,1,0,1
15.0,18.0,0.7,0.1,0.1,0.1,339.9999823026052,positive,1,0,0,0
16.0,18.0,0.7,0.1,0.1,0.1,347.72724524785593,positive,1,0,0,0
17.0,18.0,0.7,0.1,0.1,0.1,354.7825421202593,positive,1,0,0,0
18.0,18.0,0.7,0.1,0.1,0.1,361.2267298746879,positive,1,0,0,0
19.0,18.0,0.7,0.1,0.1,0.1,359.9999239119923,positive,1,1,0,1
20.0,18.0,0.7,0.1,0.1,0.1,358.07688703336606,positive,1,1,0,1
15.0,19.0,0.7,0.1,0.1,0.1,359.9999870836213,positive,1,0,0,0
16.0,19.0,0.7,0.1,0.1,0.1,368.1818010901026,positive,1,0,0,0
17.0,19.0,0.7,0.1,0.1,0.1,375.65214051929206,positive,1,0,0,0
18.0,19.0,0.7,0.1,0.1,0.1,382.49992622315193,positive,1,0,0,0
19.0,19.0,0.7,0.1,0.1,0.1,388.7756978553957,positive,1,0,0,0
20.0,19.0,0.7,0.1,0.1,0.1,387.3076133112312,positive,1,1,0,1
15.0,20.0,0.7,0.1,0.1,0.1,379.9999909596601,positive,1,0,0,0
16.0,20.0,0.7,0.1,0.1,0.1,388.63635139183793,positive,1,0,0,0
17.0,20.0,0.7,0.1,0.1,0.1,396.5217196414835,positive,1,0,0,0
18.0,20.0,0.7,0.1,0.1,0.1,403.7499642208446,positive,1,0,0,0
19.0,20.0,0.7,0.1,0.1,0.1,410.3999231371279,positive,1,0,0,0
20.0,20.0,0.7,0.1,0.1,0.1,416.5131541125753,positive,1,0,0,0
15.0,15.0,0.9,0.1,0.1,0.1,340.84848587540205,positive,1,0,0,0
16.0,15.0,0.9,0.1,0.1,0.1,343.7499294340945,positive,1,1,0,1
17.0,15.0,0.9,0.1,0.1,0.1,345.59996439835,positive,1,1,0,1
18.0,15.0,0.9,0.1,0.1,0.1,346.5384386411914,positive,1,1,0,1
19.0,15.0,0.9,0.1,0.1,0.1,346.6666508168869,positive,1,1,0,1
20.0,15.0,0.9,0.1,0.1,0.1,346.07141565367857,positive,1,1,0,1
15.0,16.0,0.9,0.1,0.1,0.1,365.2173215048486,positive,1,0,0,0
16.0,16.0,0.9,0.1,0.1,0.1,374.9776459829079,positive,1,0,0,0
17.0,16.0,0.9,0.1,0.1,0.1,377.59992151319886,positive,1,1,0,1
18.0,16.0,0.9,0.1,0.1,0.1,379.2307312712033,positive,1,1,0,1
19.0,16.0,0.9,0.1,0.1,0.1,379.999974557053,positive,1,1,0,1
20.0,16.0,0.9,0.1,0.1,0.1,379.9999819166629,positive,1,1,0,1
15.0,17.0,0.9,0.1,0.1,0.1,389.5651842877946,positive,1,0,0,0
16.0,17.0,0.9,0.1,0.1,0.1,399.9999266493869,positive,1,0,0,0
17.0,17.0,0.9,0.1,0.1,0.1,409.5764066843922,positive,1,0,0,0
18.0,17.0,0.9,0.1,0.1,0.1,411.9229906274046,positive,1,1,0,1
19.0,17.0,0.9,0.1,0.1,0.1,413.33329310977047,positive,1,1,0,1
20.0,17.0,0.9,0.1,0.1,0.1,413.92854343300087,positive,1,1,0,1
15.0,18.0,0.9,0.1,0.1,0.1,413.9130241401528,positive,1,0,0,0
16.0,18.0,0.9,0.1,0.1,0.1,424.9999642862285,positive,1,0,0,0
17.0,18.0,0.9,0.1,0.1,0.1,435.1999188220481,positive,1,0,0,0
18.0,18.0,0.9,0.1,0.1,0.1,444.59057846778495,positive,1,0,0,0
19.0,18.0,0.9,0.1,0.1,0.1,446.66657270596426,positive,1,1,0,1
20.0,18.0,0.9,0.1,0.1,0.1,447.8570958292906,positive,1,1,0,1
15.0,19.0,0.9,0.1,0.1,0.1,438.26085463771307,positive,1,0,0,0
16.0,19.0,0.9,0.1,0.1,0.1,449.9999779741775,positive,1,0,0,0
17.0,19.0,0.9,0.1,0.1,0.1,460.7999617900416,positive,1,0,0,0
18.0,19.0,0.9,0.1,0.1,0.1,470.7691418877004,positive,1,0,0,0
19.0,19.0,0.9,0.1,0.1,0.1,479.9740143569645,positive,1,0,0,0
20.0,19.0,0.9,0.1,0.1,0.1,481.7856178643676,positive,1,1,0,1
15.0,20.0,0.9,0.1,0.1,0.1,462.6086846295889,positive,1,0,0,0
16.0,20.0,0.9,0.1,0.1,0.1,474.9999824853054,positive,1,0,0,0
17.0,20.0,0.9,0.1,0.1,0.1,486.39997526725546,positive,1,0,0,0
18.0,20.0,0.9,0.1,0.1,0.1,496.9230363287557,positive,1,0,0,0
19.0,20.0,0.9,0.1,0.1,0.1,506.66657023275775,positive,1,0,0,0
20.0,20.0,0.9,0.1,0.1,0.1,515.6871509482116,positive,1,0,0,0
15.0,15.0,1.0,0.1,0.1,0.1,367.4785727230621,positive,1,0,0,0
16.0,15.0,1.0,0.1,0.1,0.1,371.99992405963445,positive,1,1,0,1
17.0,15.0,1.0,0.1,0.1,0.1,375.384577829468,positive,1,1,0,1
18.0,15.0,1.0,0.1,0.1,0.1,377.77775270816994,positive,1,1,0,1
19.0,15.0,1.0,0.1,0.1,0.1,379.2856963892272,positive,1,1,0,1
20.0,15.0,1.0,0.1,0.1,0.1,379.9999850372549,positive,1,1,0,1
15.0,16.0,1.0,0.1,0.1,0.1,393.7499240140583,positive,1,0,0,0
16.0,16.0,1.0,0.1,0.1,0.1,404.9772381751411,positive,1,0,0,0
17.0,16.0,1.0,0.1,0.1,0.1,409.2306851980761,positive,1,1,0,1
18.0,16.0,1.0,0.1,0.1,0.1,412.4073675048266,positive,1,1,0,1
19.0,16.0,1.0,0.1,0.1,0.1,414.6428294190762,positive,1,1,0,1
20.0,16.0,1.0,0.1,0.1,0.1,416.0344624488181,positive,1,1,0,1
15.0,17.0,1.0,0.1,0.1,0.1,419.9999641067933,positive,1,0,0,0
16.0,17.0,1.0,0.1,0.1,0.1,431.9999206307445,positive,1,0,0,0
17.0,17.0,1.0,0.1,0.1,0.1,443.05286025905104,positive,1,0,0,0
18.0,17.0,1.0,0.1,0.1,0.1,447.0369450589674,positive,1,1,0,1
19.0,17.0,1.0,0.1,0.1,0.1,449.9999529675964,positive,1,1,0,1
20.0,17.0,1.0,0.1,0.1,0.1,452.0689351450821,positive,1,1,0,1
15.0,18.0,1.0,0.1,0.1,0.1,446.2499777906872,positive,1,0,0,0
16.0,18.0,1.0,0.1,0.1,0.1,458.99996149573326,positive,1,0,0,0
17.0,18.0,1.0,0.1,0.1,0.1,470.769143394787,positive,1,0,0,0
18.0,18.0,1.0,0.1,0.1,0.1,481.6413328614909,positive,1,0,0,0
19.0,18.0,1.0,0.1,0.1,0.1,485.35704310771246,positive,1,1,0,1
20.0,18.0,1.0,0.1,0.1,0.1,488.1033991230013,positive,1,1,0,1
15.0,19.0,1.0,0.1,0.1,0.1,472.49998570504863,positive,1,0,0,0
16.0,19.0,1.0,0.1,0.1,0.1,485.9999749266835,positive,1,0,0,0
17.0,19.0,1.0,0.1,0.1,0.1,498.4614974705985,positive,1,0,0,0
18.0,19.0,1.0,0.1,0.1,0.1,509.9999047798128,positive,1,0,0,0
19.0,19.0,1.0,0.1,0.1,0.1,520.6877133139167,positive,1,0,0,0
20.0,19.0,1.0,0.1,0.1,0.1,524.1378237063279,positive,1,1,0,1
15.0,20.0,1.0,0.1,0.1,0.1,498.7499894370984,positive,1,0,0,0
16.0,20.0,1.0,0.1,0.1,0.1,512.9999832015085,positive,1,0,0,0
17.0,20.0,1.0,0.1,0.1,0.1,526.1538182183641,positive,1,0,0,0
18.0,20.0,1.0,0.1,0.1,0.1,538.3332851580226,positive,1,0,0,0
19.0,20.0,1.0,0.1,0.1,0.1,549.6427542590051,positive,1,0,0,0
20.0,20.0,1.0,0.1,0.1,0.1,560.1446264093479,positive,1,0,0,0
15.0,15.0,1.5,0.1,0.1,0.1,473.081336691149,positive,1,0,0,0
16.0,15.0,1.5,0.1,0.1,0.1,484.9998983671954,positive,1,1,0,1
17.0,15.0,1.5,0.1,0.1,0.1,495.4838236348679,positive,1,1,0,1
18.0,15.0,1.5,0.1,0.1,0.1,504.6874685707279,positive,1,1,0,1
19.0,15.0,1.5,0.1,0.1,0.1,512.7272479134737,positive,1,1,0,1
20.0,15.0,1.5,0.1,0.1,0.1,519.7058652469293,positive,1,1,0,1
15.0,16.0,1.5,0.1,0.1,0.1,506.896459583417,positive,1,0,0,0
16.0,16.0,1.5,0.1,0.1,0.1,524.9763448960605,positive,1,0,0,0
17.0,16.0,1.5,0.1,0.1,0.1,536.7740835071824,positive,1,1,0,1
18.0,16.0,1.5,0.1,0.1,0.1,547.1874444264265,positive,1,1,0,1
19.0,16.0,1.5,0.1,0.1,0.1,556.3636020911639,positive,1,1,0,1
20.0,16.0,1.5,0.1,0.1,0.1,564.4117370073619,positive,1,1,0,1
15.0,17.0,1.5,0.1,0.1,0.1,540.6896121902604,positive,1,0,0,0
16.0,17.0,1.5,0.1,0.1,0.1,559.9998931224685,positive,1,0,0,0
17.0,17.0,1.5,0.1,0.1,0.1,578.039345902038,positive,1,0,0,0
18.0,17.0,1.5,0.1,0.1,0.1,589.6873818278292,positive,1,1,0,1
19.0,17.0,1.5,0.1,0.1,0.1,599.9999425249662,positive,1,1,0,1
20.0,17.0,1.5,0.1,0.1,0.1,609.1176099849574,positive,1,1,0,1
15.0,18.0,1.5,0.1,0.1,0.1,574.4827322942824,positive,1,0,0,0
16.0,18.0,1.5,0.1,0.1,0.1,594.9999489134028,positive,1,0,0,0
17.0,18.0,1.5,0.1,0.1,0.1,614.1934331960458,positive,1,0,0,0
18.0,18.0,1.5,0.1,0.1,0.1,632.1608408446192,positive,1,0,0,0
19.0,18.0,1.5,0.1,0.1,0.1,643.6362306443144,positive,1,1,0,1
20.0,18.0,1.5,0.1,0.1,0.1,653.823463606359,positive,1,1,0,1
15.0,19.0,1.5,0.1,0.1,0.1,608.275843162424,positive,1,0,0,0
16.0,19.0,1.5,0.1,0.1,0.1,629.9999707003478,positive,1,0,0,0
17.0,19.0,1.5,0.1,0.1,0.1,650.3225273264009,positive,1,0,0,0
18.0,19.0,1.5,0.1,0.1,0.1,669.3748699361256,positive,1,0,0,0
19.0,19.0,1.5,0.1,0.1,0.1,687.2446030748458,positive,1,0,0,0
20.0,19.0,1.5,0.1,0.1,0.1,698.5292711719146,positive,1,1,0,1
15.0,20.0,1.5,0.1,0.1,0.1,642.0689500094453,positive,1,0,0,0
16.0,20.0,1.5,0.1,0.1,0.1,664.9999782236179,positive,1,0,0,0
17.0,20.0,1.5,0.1,0.1,0.1,686.4515806624405,positive,1,0,0,0
18.0,20.0,1.5,0.1,0.1,0.1,706.562438421007,positive,1,0,0,0
19.0,20.0,1.5,0.1,0.1,0.1,725.4544076031395,positive,1,0,0,0
20.0,20.0,1.5,0.1,0.1,0.1,743.205734231939,positive,1,0,0,0
15.0,15.0,2.0,0.1,0.1,0.1,547.6250870434811,positive,1,0,0,0
16.0,15.0,2.0,0.1,0.1,0.1,565.7141677972338,positive,1,1,0,1
17.0,15.0,2.0,0.1,0.1,0.1,582.2221654641003,positive,1,1,0,1
18.0,15.0,2.0,0.1,0.1,0.1,597.2972608432145,positive,1,1,0,1
19.0,15.0,2.0,0.1,0.1,0.1,611.0526068317301,positive,1,1,0,1
20.0,15.0,2.0,0.1,0.1,0.1,623.589720490385,positive,1,1,0,1
15.0,16.0,2.0,0.1,0.1,0.1,586.7645976749747,positive,1,0,0,0
16.0,16.0,2.0,0.1,0.1,0.1,610.6906656531966,positive,1,0,0,0
17.0,16.0,2.0,0.1,0.1,0.1,628.8887629332017,positive,1,1,0,1
18.0,16.0,2.0,0.1,0.1,0.1,645.5404748465799,positive,1,1,0,1
19.0,16.0,2.0,0.1,0.1,0.1,660.7894343828885,positive,1,1,0,1
20.0,16.0,2.0,0.1,0.1,0.1,674.7435621646785,positive,1,1,0,1
15.0,17.0,2.0,0.1,0.1,0.1,625.8822997651894,positive,1,0,0,0
16.0,17.0,2.0,0.1,0.1,0.1,651.4284477314328,positive,1,0,0,0
17.0,17.0,2.0,0.1,0.1,0.1,675.5303123859667,positive,1,0,0,0
18.0,17.0,2.0,0.1,0.1,0.1,693.7836422663945,positive,1,1,0,1
19.0,17.0,2.0,0.1,0.1,0.1,710.5262487158491,positive,1,1,0,1
20.0,17.0,2.0,0.1,0.1,0.1,725.8973938116768,positive,1,1,0,1
15.0,18.0,2.0,0.1,0.1,0.1,664.9999677791355,positive,1,0,0,0
16.0,18.0,2.0,0.1,0.1,0.1,692.1428019219237,positive,1,0,0,0
17.0,18.0,2.0,0.1,0.1,0.1,717.7776461332201,positive,1,0,0,0
18.0,18.0,2.0,0.1,0.1,0.1,742.0001677885838,positive,1,0,0,0
19.0,18.0,2.0,0.1,0.1,0.1,760.263000733085,positive,1,1,0,1
20.0,18.0,2.0,0.1,0.1,0.1,777.051206104153,positive,1,1,0,1
15.0,19.0,2.0,0.1,0.1,0.1,704.1176212642704,positive,1,0,0,0
16.0,19.0,2.0,0.1,0.1,0.1,732.8571075708181,positive,1,0,0,0
17.0,19.0,2.0,0.1,0.1,0.1,759.9999361294219,positive,1,0,0,0
18.0,19.0,2.0,0.1,0.1,0.1,785.675528665183,positive,1,0,0,0
19.0,19.0,2.0,0.1,0.1,0.1,809.9715560879096,positive,1,0,0,0
20.0,19.0,2.0,0.1,0.1,0.1,828.204964012929,positive,1,1,0,1
15.0,20.0,2.0,0.1,0.1,0.1,743.235276522515,positive,1,0,0,0
16.0,20.0,2.0,0.1,0.1,0.1,773.5713995015705,positive,1,0,0,0
17.0,20.0,2.0,0.1,0.1,0.1,802.2221839378036,positive,1,0,0,0
18.0,20.0,2.0,0.1,0.1,0.1,829.3242515273213,positive,1,0,0,0
19.0,20.0,2.0,0.1,0.1,0.1,854.9998375693095,positive,1,0,0,0
20.0,20.0,2.0,0.1,0.1,0.1,879.328958314015,positive,1,0,0,0
15.0,15.0,2.5,0.1,0.1,0.1,603.055394871118,positive,1,0,0,0
16.0,15.0,2.5,0.1,0.1,0.1,626.2498762026141,positive,1,1,0,1
17.0,15.0,2.5,0.1,0.1,0.1,647.8048156487238,positive,1,1,0,1
18.0,15.0,2.5,0.1,0.1,0.1,667.8570985238582,positive,1,1,0,1
19.0,15.0,2.5,0.1,0.1,0.1,686.5115949091489,positive,1,1,0,1
20.0,15.0,2.5,0.1,0.1,0.1,703.8636110815669,positive,1,1,0,1
15.0,16.0,2.5,0.1,0.1,0.1,646.1537242592568,positive,1,0,0,0
16.0,16.0,2.5,0.1,0.1,0.1,674.9767729939425,positive,1,0,0,0
17.0,16.0,2.5,0.1,0.1,0.1,698.5364459350941,positive,1,1,0,1
18.0,16.0,2.5,0.1,0.1,0.1,720.4761189343874,positive,1,1,0,1
19.0,16.0,2.5,0.1,0.1,0.1,740.9301854540181,positive,1,1,0,1
20.0,16.0,2.5,0.1,0.1,0.1,759.9999639006197,positive,1,1,0,1
15.0,17.0,2.5,0.1,0.1,0.1,689.2307098277158,positive,1,0,0,0
16.0,17.0,2.5,0.1,0.1,0.1,719.9998623094551,positive,1,0,0,0
17.0,17.0,2.5,0.1,0.1,0.1,749.2433823234026,positive,1,0,0,0
18.0,17.0,2.5,0.1,0.1,0.1,773.0950829690291,positive,1,1,0,1
19.0,17.0,2.5,0.1,0.1,0.1,795.3487563087874,positive,1,1,0,1
20.0,17.0,2.5,0.1,0.1,0.1,816.136313842051,positive,1,1,0,1
15.0,18.0,2.5,0.1,0.1,0.1,732.3076586820073,positive,1,0,0,0
16.0,18.0,2.5,0.1,0.1,0.1,764.9999389919416,positive,1,0,0,0
17.0,18.0,2.5,0.1,0.1,0.1,796.0974074140917,positive,1,0,0,0
18.0,18.0,2.5,0.1,0.1,0.1,825.6876976003184,positive,1,0,0,0
19.0,18.0,2.5,0.1,0.1,0.1,849.767271057714,positive,1,1,0,1
20.0,18.0,2.5,0.1,0.1,0.1,872.2726458552985,positive,1,1,0,1
15.0,19.0,2.5,0.1,0.1,0.1,775.3845869640323,positive,1,0,0,0
16.0,19.0,2.5,0.1,0.1,0.1,809.9999565687779,positive,1,0,0,0
17.0,19.0,2.5,0.1,0.1,0.1,842.9267593792931,positive,1,0,0,0
18.0,19.0,2.5,0.1,0.1,0.1,874.2855448637061,positive,1,0,0,0
19.0,19.0,2.5,0.1,0.1,0.1,904.1577947746792,positive,1,0,0,0
20.0,19.0,2.5,0.1,0.1,0.1,928.4089045138908,positive,1,1,0,1
15.0,20.0,2.5,0.1,0.1,0.1,818.4615180473158,positive,1,0,0,0
16.0,20.0,2.5,0.1,0.1,0.1,854.9999682792909,positive,1,0,0,0
17.0,20.0,2.5,0.1,0.1,0.1,889.7560511509665,positive,1,0,0,0
18.0,20.0,2.5,0.1,0.1,0.1,922.8570638670892,positive,1,0,0,0
19.0,20.0,2.5,0.1,0.1,0.1,954.4184194479424,positive,1,0,0,0
20.0,20.0,2.5,0.1,0.1,0.1,984.515552585638,positive,1,0,0,0
15.0,15.0,3.0,0.1,0.1,0.1,645.88812346294,positive,1,0,0,0
16.0,15.0,3.0,0.1,0.1,0.1,673.3332007899537,positive,1,1,0,1
17.0,15.0,3.0,0.1,0.1,0.1,699.1303645427495,positive,1,1,0,1
18.0,15.0,3.0,0.1,0.1,0.1,723.4042090212179,positive,1,1,0,1
19.0,15.0,3.0,0.1,0.1,0.1,746.2499639547983,positive,1,1,0,1
20.0,15.0,3.0,0.1,0.1,0.1,767.7550732748132,positive,1,1,0,1
15.0,16.0,3.0,0.1,0.1,0.1,692.0453235892511,positive,1,0,0,0
16.0,16.0,3.0,0.1,0.1,0.1,724.9773075234344,positive,1,0,0,0
17.0,16.0,3.0,0.1,0.1,0.1,753.0433302400356,positive,1,1,0,1
18.0,16.0,3.0,0.1,0.1,0.1,779.4680142568328,positive,1,1,0,1
19.0,16.0,3.0,0.1,0.1,0.1,804.374951105062,positive,1,1,0,1
20.0,16.0,3.0,0.1,0.1,0.1,827.8571037343106,positive,1,1,0,1
15.0,17.0,3.0,0.1,0.1,0.1,738.1817586098464,positive,1,0,0,0
16.0,17.0,3.0,0.1,0.1,0.1,773.3331867117247,positive,1,0,0,0
17.0,17.0,3.0,0.1,0.1,0.1,806.9321106038356,positive,1,0,0,0
18.0,17.0,3.0,0.1,0.1,0.1,835.5317418187982,positive,1,1,0,1
19.0,17.0,3.0,0.1,0.1,0.1,862.4999201250555,positive,1,1,0,1
20.0,17.0,3.0,0.1,0.1,0.1,887.9591322585225,positive,1,1,0,1
15.0,18.0,3.0,0.1,0.1,0.1,784.3181461162053,positive,1,0,0,0
16.0,18.0,3.0,0.1,0.1,0.1,821.6665981477586,positive,1,0,0,0
17.0,18.0,3.0,0.1,0.1,0.1,857.3911420718931,positive,1,0,0,0
