r1,r2,a11,a12,a21,a22,N1_eq,N2_eq,left_PGR1,left_PGR2,left_flag,nu,nu_sign,coexist,S1,S2,F1_star,CE1,CE2,CE_case,Rank
18.0,20.0,0.1,0.1,0.1,0.1,7.67606160131564e-10,189.99999999914206,0.0,0.0,0,0.0,0,0,1.0,1.0,4.040032421746994e-12,-20.0,20.0,-1,2
19.0,20.0,0.1,0.1,0.1,0.1,1.7862334540384597e-09,189.99999999811453,0.0,0.0,0,0.0,0,0,1.0,1.0,9.401228705470487e-12,-10.0,10.0,-1,2
15.0,15.0,0.3,0.1,0.1,0.1,0.00750382412569562,139.99249537139121,0.0001000452692134779,0.0,1,115.2817577448069,1,0,1.0,2.6470588235294117,5.359874406296359e-05,0.0,93.33333333333333,-1,2
16.0,15.0,0.3,0.1,0.1,0.1,5.000000001452196,134.9999999984436,0.06453852115568903,0.0,1,108.33333333082614,1,1,1.0,2.666666666666666,0.03571428572468512,10.0,90.0,-1,2
17.0,15.0,0.3,0.1,0.1,0.1,10.00000000066186,129.99999999924273,0.12516314296180742,0.0,1,101.05263157775231,1,1,1.0,2.6842105263157894,0.07142857143334767,20.0,86.66666666666666,-1,2
18.0,15.0,0.3,0.1,0.1,0.1,15.000000000419151,124.99999999948987,0.18232155679866402,0.0,1,93.4999999992101,1,1,1.0,2.6999999999999997,0.1071428571459207,30.0,83.33333333333333,-1,2
19.0,15.0,0.3,0.1,0.1,0.1,20.00000000031382,119.99999999959508,0.23638877806761993,0.0,1,85.71428571366964,1,1,1.0,2.714285714285714,0.1428571428594774,40.0,80.0,-1,2
20.0,15.0,0.3,0.1,0.1,0.1,25.00000000024909,114.99999999966026,0.28768207245438715,0.0,1,77.72727272676418,1,1,1.0,2.727272727272727,0.1785714285733234,50.0,76.66666666666666,-1,2
15.0,16.0,0.3,0.1,0.1,0.1,1.3416348041438973e-09,149.99999999856252,1.6695977933522954e-11,0.0,1,123.52941176241718,1,0,1.0,2.6470588235294117,8.944232027631696e-12,-10.0,103.33333333333333,-1,2
16.0,16.0,0.3,0.1,0.1,0.1,0.008004062407232247,149.9919950832957,0.00010004510864192184,0.0,1,124.98665918407369,1,0,1.0,2.666666666666666,5.3360416352119296e-05,0.0,100.0,-1,2
17.0,16.0,0.3,0.1,0.1,0.1,5.000000001526019,144.99999999837183,0.06062462183435802,0.0,1,117.8947368394491,1,1,1.0,2.6842105263157894,0.033333333343529496,10.0,96.66666666666666,-1,2
18.0,16.0,0.3,0.1,0.1,0.1,10.000000000698595,139.99999999920752,0.1177830356641576,0.0,1,110.49999999873256,1,1,1.0,2.6999999999999997,0.06666666667136568,20.0,93.33333333333333,-1,2
19.0,16.0,0.3,0.1,0.1,0.1,15.000000000469496,134.99999999943554,0.17185025693164846,0.0,1,102.85714285625659,1,1,1.0,2.714285714285714,0.10000000000319328,30.0,90.0,-1,2
20.0,16.0,0.3,0.1,0.1,0.1,20.00000000035876,129.99999999954423,0.22314355131787744,0.0,1,94.99999999929653,1,1,1.0,2.727272727272727,0.1333333333358113,40.0,86.66666666666666,-1,2
15.0,17.0,0.3,0.1,0.1,0.1,6.134568425857043e-10,159.99999999929892,7.156941705943609e-12,0.0,1,131.76470588127037,1,0,1.0,2.6470588235294117,3.8341052661627515e-12,-20.0,113.33333333333333,-1,2
16.0,17.0,0.3,0.1,0.1,0.1,1.4322887112416461e-09,159.99999999847222,1.6784351686283117e-11,0.0,1,133.33333333086657,1,0,1.0,2.666666666666666,8.951804445265632e-12,-10.0,110.0,-1,2
17.0,17.0,0.3,0.1,0.1,0.1,0.00850430075024953,159.99149479510885,0.00010004496733362345,0.0,1,134.7225183110388,1,0,1.0,2.6842105263157894,5.3151879989414494e-05,0.0,106.66666666666666,-1,2
