r1,r2,a11,a12,a21,a22,N1,N2,FE1,S1,FE2,S2,Rank,Coexist,Asy,cor_sos,Rare,PGR1,PGR2,A1,A2,B,C
18.0,16.0,0.5,1.0,0.7,0.9,0.0,16.666666666666668,1.125,0.9056603773584904,0.8888888888888888,0.7258064516129034,2.0,0.0,0.1798539257455871,-1.498782714546559,0.0,,0.0,True,False,False,False
19.0,16.0,0.5,1.0,0.7,0.9,0.0,16.666666666666668,1.1875,0.9056603773584904,0.8421052631578947,0.7251908396946565,2.0,0.0,0.180469537663834,-1.5039128138652835,0.0,,0.0,True,False,False,False
20.0,16.0,0.5,1.0,0.7,0.9,0.0,16.666666666666668,1.25,0.9056603773584904,0.8,0.7246376811594204,2.0,0.0,0.18102269619907,-1.508522468325584,0.0,,0.0,True,False,False,False
19.0,17.0,0.5,1.0,0.7,0.9,0.0,17.77777777777778,1.1176470588235294,0.9053254437869822,0.8947368421052632,0.7251908396946565,2.0,0.0,0.1801346040923257,-1.6011964808206731,0.0,,0.0,True,False,False,False
20.0,17.0,0.5,1.0,0.7,0.9,0.0,17.77777777777778,1.1764705882352942,0.9053254437869822,0.85,0.7246376811594204,2.0,0.0,0.1806877626275618,-1.6061134455783272,0.0,,0.0,True,False,False,False
20.0,18.0,0.5,1.0,0.7,0.9,0.0,18.88888888888889,1.1111111111111112,0.9050279329608938,0.9,0.7246376811594204,2.0,0.0,0.1803902518014734,-1.70368571145836,0.0,,0.0,True,False,False,False
17.0,15.0,0.1,1.0,0.9,0.9,0.0,15.555555555555555,1.1333333333333333,0.9060402684563758,0.8823529411764706,0.1172413793103448,2.0,0.0,0.7887988891460309,-6.135102471135796,0.0,,0.0,True,False,False,False
18.0,15.0,0.1,1.0,0.9,0.9,0.0,15.555555555555555,1.2,0.9060402684563758,0.8333333333333334,0.1168831168831168,2.0,0.0,0.7891571515732588,-6.137888956680903,0.0,,0.0,True,False,False,False
19.0,15.0,0.1,1.0,0.9,0.9,0.0,15.555555555555555,1.2666666666666666,0.9060402684563758,0.7894736842105263,0.1165644171779141,2.0,0.0,0.7894758512784616,-6.140367732165813,0.0,,0.0,True,False,False,False
20.0,15.0,0.1,1.0,0.9,0.9,0.0,15.555555555555555,1.3333333333333333,0.9060402684563758,0.75,0.1162790697674418,2.0,0.0,0.7897611986889339,-6.14258710091393,0.0,,0.0,True,False,False,False
18.0,16.0,0.1,1.0,0.9,0.9,0.0,16.666666666666668,1.125,0.9056603773584904,0.8888888888888888,0.1168831168831168,2.0,0.0,0.7887772604753736,-6.57314383729478,0.0,,0.0,True,False,False,False
19.0,16.0,0.1,1.0,0.9,0.9,0.0,16.666666666666668,1.1875,0.9056603773584904,0.8421052631578947,0.1165644171779141,2.0,0.0,0.7890959601805764,-6.57579966817147,0.0,,0.0,True,False,False,False
