k,r1,r2,a11,a12,a21,a22,cor_sos,nu_sign,coexist,left_N1_win,right_N1_win,curve_cross
0.25,15.0,20.0,0.9,0.1,0.1,0.1,462.60869565217394,positive,0,0,0,0
0.25,16.0,20.0,0.9,0.1,0.1,0.1,475.0,positive,0,0,0,0
0.25,17.0,20.0,0.9,0.1,0.1,0.1,486.4,positive,0,0,0,0
0.25,18.0,20.0,0.9,0.1,0.1,0.1,496.9230769230769,positive,0,0,0,0
0.25,19.0,20.0,0.9,0.1,0.1,0.1,506.6666666666666,positive,0,0,0,0
0.25,20.0,20.0,0.9,0.1,0.1,0.1,515.7142857142858,positive,0,0,0,0
0.25,15.0,15.0,1.0,0.1,0.1,0.1,367.5,positive,0,0,0,0
0.25,16.0,15.0,1.0,0.1,0.1,0.1,372.0,positive,1,1,0,1
0.25,17.0,15.0,1.0,0.1,0.1,0.1,375.3846153846154,positive,1,1,0,1
0.25,18.0,15.0,1.0,0.1,0.1,0.1,377.77777777777777,positive,1,1,0,1
0.25,19.0,15.0,1.0,0.1,0.1,0.1,379.2857142857143,positive,1,1,0,1
0.25,20.0,15.0,1.0,0.1,0.1,0.1,380.0,positive,1,1,0,1
0.25,15.0,16.0,1.0,0.1,0.1,0.1,393.75,positive,0,0,0,0
0.25,16.0,16.0,1.0,0.1,0.1,0.1,405.0,positive,0,0,0,0
0.25,17.0,16.0,1.0,0.1,0.1,0.1,409.2307692307692,positive,1,1,0,1
0.25,18.0,16.0,1.0,0.1,0.1,0.1,412.4074074074074,positive,1,1,0,1
0.25,19.0,16.0,1.0,0.1,0.1,0.1,414.6428571428572,positive,1,1,0,1
0.25,20.0,16.0,1.0,0.1,0.1,0.1,416.03448275862064,positive,1,1,0,1
0.25,15.0,17.0,1.0,0.1,0.1,0.1,420.0,positive,0,0,0,0
0.25,16.0,17.0,1.0,0.1,0.1,0.1,432.0,positive,0,0,0,0
0.25,17.0,17.0,1.0,0.1,0.1,0.1,443.0769230769231,positive,0,0,0,0
0.25,18.0,17.0,1.0,0.1,0.1,0.1,447.03703703703707,positive,1,1,0,1
0.25,19.0,17.0,1.0,0.1,0.1,0.1,450.0,positive,1,1,0,1
0.25,20.0,17.0,1.0,0.1,0.1,0.1,452.0689655172413,positive,1,1,0,1
0.25,15.0,18.0,1.0,0.1,0.1,0.1,446.25,positive,0,0,0,0
0.25,16.0,18.0,1.0,0.1,0.1,0.1,459.00000000000006,positive,0,0,0,0
0.25,17.0,18.0,1.0,0.1,0.1,0.1,470.7692307692308,positive,0,0,0,0
0.25,18.0,18.0,1.0,0.1,0.1,0.1,481.6666666666666,positive,0,0,0,0
0.25,19.0,18.0,1.0,0.1,0.1,0.1,485.3571428571429,positive,1,1,0,1
0.25,20.0,18.0,1.0,0.1,0.1,0.1,488.103448275862,positive,1,1,0,1
0.25,15.0,19.0,1.0,0.1,0.1,0.1,472.5,positive,0,0,0,0
0.25,16.0,19.0,1.0,0.1,0.1,0.1,486.00000000000006,positive,0,0,0,0
0.25,17.0,19.0,1.0,0.1,0.1,0.1,498.46153846153845,positive,0,0,0,0
0.25,18.0,19.0,1.0,0.1,0.1,0.1,510.0,positive,0,0,0,0
0.25,19.0,19.0,1.0,0.1,0.1,0.1,520.7142857142858,positive,0,0,0,0
0.25,20.0,19.0,1.0,0.1,0.1,0.1,524.1379310344828,positive,1,1,0,1
0.25,15.0,20.0,1.0,0.1,0.1,0.1,498.75,positive,0,0,0,0
0.25,16.0,20.0,1.0,0.1,0.1,0.1,513.0,positive,0,0,0,0
0.25,17.0,20.0,1.0,0.1,0.1,0.1,526.1538461538462,positive,0,0,0,0
0.25,18.0,20.0,1.0,0.1,0.1,0.1,538.3333333333333,positive,0,0,0,0
0.25,19.0,20.0,1.0,0.1,0.1,0.1,549.6428571428572,positive,0,0,0,0
0.25,20.0,20.0,1.0,0.1,0.1,0.1,560.1724137931035,positive,0,0,0,0
0.25,15.0,15.0,1.5,0.1,0.1,0.1,473.1034482758621,positive,0,0,0,0
0.25,16.0,15.0,1.5,0.1,0.1,0.1,485.0,positive,1,1,0,1
0.25,17.0,15.0,1.5,0.1,0.1,0.1,495.483870967742,positive,1,1,0,1
0.25,18.0,15.0,1.5,0.1,0.1,0.1,504.68750000000006,positive,1,1,0,1
0.25,19.0,15.0,1.5,0.1,0.1,0.1,512.7272727272726,positive,1,1,0,1
0.25,20.0,15.0,1.5,0.1,0.1,0.1,519.7058823529413,positive,1,1,0,1
0.25,15.0,16.0,1.5,0.1,0.1,0.1,506.896551724138,positive,0,0,0,0
0.25,16.0,16.0,1.5,0.1,0.1,0.1,525.0,positive,0,0,0,0
0.25,17.0,16.0,1.5,0.1,0.1,0.1,536.7741935483872,positive,1,1,0,1
0.25,18.0,16.0,1.5,0.1,0.1,0.1,547.1875,positive,1,1,0,1
0.25,19.0,16.0,1.5,0.1,0.1,0.1,556.3636363636363,positive,1,1,0,1
0.25,20.0,16.0,1.5,0.1,0.1,0.1,564.4117647058823,positive,1,1,0,1
0.25,15.0,17.0,1.5,0.1,0.1,0.1,540.6896551724138,positive,0,0,0,0
0.25,16.0,17.0,1.5,0.1,0.1,0.1,560.0,positive,0,0,0,0
0.25,17.0,17.0,1.5,0.1,0.1,0.1,578.0645161290323,positive,0,0,0,0
0.25,18.0,17.0,1.5,0.1,0.1,0.1,589.6875,positive,1,1,0,1
0.25,19.0,17.0,1.5,0.1,0.1,0.1,599.9999999999999,positive,1,1,0,1
0.25,20.0,17.0,1.5,0.1,0.1,0.1,609.1176470588236,positive,1,1,0,1
0.25,15.0,18.0,1.5,0.1,0.1,0.1,574.4827586206897,positive,0,0,0,0
0.25,16.0,18.0,1.5,0.1,0.1,0.1,595.0,positive,0,0,0,0
0.25,17.0,18.0,1.5,0.1,0.1,0.1,614.1935483870968,positive,0,0,0,0
0.25,18.0,18.0,1.5,0.1,0.1,0.1,632.1875,positive,0,0,0,0
0.25,19.0,18.0,1.5,0.1,0.1,0.1,643.6363636363635,positive,1,1,0,1
0.25,20.0,18.0,1.5,0.1,0.1,0.1,653.8235294117648,positive,1,1,0,1
0.25,15.0,19.0,1.5,0.1,0.1,0.1,608.2758620689656,positive,0,0,0,0
0.25,16.0,19.0,1.5,0.1,0.1,0.1,630.0,positive,0,0,0,0
0.25,17.0,19.0,1.5,0.1,0.1,0.1,650.3225806451613,positive,0,0,0,0
0.25,18.0,19.0,1.5,0.1,0.1,0.1,669.375,positive,0,0,0,0
0.25,19.0,19.0,1.5,0.1,0.1,0.1,687.2727272727271,positive,0,0,0,0
0.25,20.0,19.0,1.5,0.1,0.1,0.1,698.529411764706,positive,1,1,0,1
0.25,15.0,20.0,1.5,0.1,0.1,0.1,642.0689655172414,positive,0,0,0,0
0.25,16.0,20.0,1.5,0.1,0.1,0.1,665.0,positive,0,0,0,0
0.25,17.0,20.0,1.5,0.1,0.1,0.1,686.4516129032259,positive,0,0,0,0
0.25,18.0,20.0,1.5,0.1,0.1,0.1,706.5625,positive,0,0,0,0
0.25,19.0,20.0,1.5,0.1,0.1,0.1,725.4545454545453,positive,0,0,0,0
0.25,20.0,20.0,1.5,0.1,0.1,0.1,743.2352941176471,positive,0,0,0,0
0.25,15.0,15.0,2.0,0.1,0.1,0.1,547.6470588235293,positive,0,0,0,0
0.25,16.0,15.0,2.0,0.1,0.1,0.1,565.7142857142857,positive,1,1,0,1
0.25,17.0,15.0,2.0,0.1,0.1,0.1,582.2222222222222,positive,1,1,0,1
0.25,18.0,15.0,2.0,0.1,0.1,0.1,597.2972972972974,positive,1,1,0,1
0.25,19.0,15.0,2.0,0.1,0.1,0.1,611.0526315789473,positive,1,1,0,1
0.25,20.0,15.0,2.0,0.1,0.1,0.1,623.5897435897435,positive,1,1,0,1
0.25,15.0,16.0,2.0,0.1,0.1,0.1,586.7647058823528,positive,0,0,0,0
0.25,16.0,16.0,2.0,0.1,0.1,0.1,610.7142857142857,positive,0,0,0,0
0.25,17.0,16.0,2.0,0.1,0.1,0.1,628.8888888888888,positive,1,1,0,1
0.25,18.0,16.0,2.0,0.1,0.1,0.1,645.5405405405405,positive,1,1,0,1
0.25,19.0,16.0,2.0,0.1,0.1,0.1,660.7894736842104,positive,1,1,0,1
0.25,20.0,16.0,2.0,0.1,0.1,0.1,674.7435897435896,positive,1,1,0,1
0.25,15.0,17.0,2.0,0.1,0.1,0.1,625.8823529411764,positive,0,0,0,0
0.25,16.0,17.0,2.0,0.1,0.1,0.1,651.4285714285713,positive,0,0,0,0
0.25,17.0,17.0,2.0,0.1,0.1,0.1,675.5555555555555,positive,0,0,0,0
0.25,18.0,17.0,2.0,0.1,0.1,0.1,693.7837837837839,positive,1,1,0,1
0.25,19.0,17.0,2.0,0.1,0.1,0.1,710.5263157894736,positive,1,1,0,1
0.25,20.0,17.0,2.0,0.1,0.1,0.1,725.8974358974359,positive,1,1,0,1
0.25,15.0,18.0,2.0,0.1,0.1,0.1,664.9999999999999,positive,0,0,0,0
0.25,16.0,18.0,2.0,0.1,0.1,0.1,692.1428571428571,positive,0,0,0,0
0.25,17.0,18.0,2.0,0.1,0.1,0.1,717.7777777777778,positive,0,0,0,0
0.25,18.0,18.0,2.0,0.1,0.1,0.1,742.0270270270269,positive,0,0,0,0
0.25,19.0,18.0,2.0,0.1,0.1,0.1,760.2631578947369,positive,1,1,0,1
0.25,20.0,18.0,2.0,0.1,0.1,0.1,777.051282051282,positive,1,1,0,1
0.25,15.0,19.0,2.0,0.1,0.1,0.1,704.1176470588234,positive,0,0,0,0
0.25,16.0,19.0,2.0,0.1,0.1,0.1,732.8571428571428,positive,0,0,0,0
0.25,17.0,19.0,2.0,0.1,0.1,0.1,760.0,positive,0,0,0,0
0.25,18.0,19.0,2.0,0.1,0.1,0.1,785.6756756756757,positive,0,0,0,0
0.25,19.0,19.0,2.0,0.1,0.1,0.1,810.0,positive,0,0,0,0
0.25,20.0,19.0,2.0,0.1,0.1,0.1,828.2051282051282,positive,1,1,0,1
0.25,15.0,20.0,2.0,0.1,0.1,0.1,743.235294117647,positive,0,0,0,0
0.25,16.0,20.0,2.0,0.1,0.1,0.1,773.5714285714286,positive,0,0,0,0
0.25,17.0,20.0,2.0,0.1,0.1,0.1,802.2222222222223,positive,0,0,0,0
0.25,18.0,20.0,2.0,0.1,0.1,0.1,829.3243243243244,positive,0,0,0,0
0.25,19.0,20.0,2.0,0.1,0.1,0.1,855.0,positive,0,0,0,0
0.25,20.0,20.0,2.0,0.1,0.1,0.1,879.3589743589743,positive,0,0,0,0
0.25,15.0,15.0,2.5,0.1,0.1,0.1,603.0769230769231,positive,0,0,0,0
0.25,16.0,15.0,2.5,0.1,0.1,0.1,626.25,positive,1,1,0,1
0.25,17.0,15.0,2.5,0.1,0.1,0.1,647.8048780487804,positive,1,1,0,1
0.25,18.0,15.0,2.5,0.1,0.1,0.1,667.8571428571428,positive,1,1,0,1
0.25,19.0,15.0,2.5,0.1,0.1,0.1,686.5116279069766,positive,1,1,0,1
0.25,20.0,15.0,2.5,0.1,0.1,0.1,703.8636363636363,positive,1,1,0,1
0.25,15.0,16.0,2.5,0.1,0.1,0.1,646.1538461538461,positive,0,0,0,0
0.25,16.0,16.0,2.5,0.1,0.1,0.1,675.0,positive,0,0,0,0
0.25,17.0,16.0,2.5,0.1,0.1,0.1,698.5365853658535,positive,1,1,0,1
0.25,18.0,16.0,2.5,0.1,0.1,0.1,720.4761904761904,positive,1,1,0,1
0.25,19.0,16.0,2.5,0.1,0.1,0.1,740.9302325581396,positive,1,1,0,1
0.25,20.0,16.0,2.5,0.1,0.1,0.1,760.0,positive,1,1,0,1
0.25,15.0,17.0,2.5,0.1,0.1,0.1,689.2307692307692,positive,0,0,0,0
0.25,16.0,17.0,2.5,0.1,0.1,0.1,720.0,positive,0,0,0,0
0.25,17.0,17.0,2.5,0.1,0.1,0.1,749.2682926829268,positive,0,0,0,0
0.25,18.0,17.0,2.5,0.1,0.1,0.1,773.0952380952381,positive,1,1,0,1
0.25,19.0,17.0,2.5,0.1,0.1,0.1,795.3488372093022,positive,1,1,0,1
0.25,20.0,17.0,2.5,0.1,0.1,0.1,816.1363636363636,positive,1,1,0,1
0.25,15.0,18.0,2.5,0.1,0.1,0.1,732.3076923076923,positive,0,0,0,0
0.25,16.0,18.0,2.5,0.1,0.1,0.1,765.0,positive,0,0,0,0
0.25,17.0,18.0,2.5,0.1,0.1,0.1,796.0975609756097,positive,0,0,0,0
0.25,18.0,18.0,2.5,0.1,0.1,0.1,825.7142857142857,positive,0,0,0,0
0.25,19.0,18.0,2.5,0.1,0.1,0.1,849.7674418604652,positive,1,1,0,1
0.25,20.0,18.0,2.5,0.1,0.1,0.1,872.2727272727273,positive,1,1,0,1
0.25,15.0,19.0,2.5,0.1,0.1,0.1,775.3846153846154,positive,0,0,0,0
0.25,16.0,19.0,2.5,0.1,0.1,0.1,810.0,positive,0,0,0,0
0.25,17.0,19.0,2.5,0.1,0.1,0.1,842.9268292682926,positive,0,0,0,0
0.25,18.0,19.0,2.5,0.1,0.1,0.1,874.2857142857142,positive,0,0,0,0
0.25,19.0,19.0,2.5,0.1,0.1,0.1,904.186046511628,positive,0,0,0,0
0.25,20.0,19.0,2.5,0.1,0.1,0.1,928.4090909090908,positive,1,1,0,1
0.25,15.0,20.0,2.5,0.1,0.1,0.1,818.4615384615385,positive,0,0,0,0
0.25,16.0,20.0,2.5,0.1,0.1,0.1,855.0,positive,0,0,0,0
0.25,17.0,20.0,2.5,0.1,0.1,0.1,889.7560975609756,positive,0,0,0,0
0.25,18.0,20.0,2.5,0.1,0.1,0.1,922.8571428571428,positive,0,0,0,0
0.25,19.0,20.0,2.5,0.1,0.1,0.1,954.4186046511628,positive,0,0,0,0
